投资金额及投资人,投资金额：1200万美元投资人：__及其关联基金
回购权,在以下任一时点之后，A轮优先股持有人可随时要求公司赎回其所持的全部或部分A轮优先股:(1)A轮交割后满5年后；或(2)公司及/或创始人对交易文件构成重大违约。赎回价格以以下较高者为准：(1)A轮优先股的初始购买价的150%，加上全部已宣布但未支付的股利，或(2)A轮优先股的市场公允价格。
领售权,如果在合格IPO之前，2/3以上A轮优先股持有人及1/2以上普通股持有人赞成出售公司的全部或主要资产、股份，那么公司所有其他股东应同意、并促使其他股东同意按相同条件参与该出售。
保护性条款,下列事项需经2/3以上A轮优先股持有人同意，为本条款的目的，“公司”包括各集团公司：(1)对A轮优先股持有人的任何权利、优先权、特权或权力或为其利益所设的限制的任何改变；(2)      发行优先性优于或等于A轮优先股的任何证券，发行公司的任何债券或股权性证券(但基于经事先批准的员工期权计划发行的除外)；(3)公司股份的回购或赎回（根据公司章程中回购或赎回条款所做的回购或赎回除外）以及发行具有该等回购权或赎回权的股份；(4)      任何股票拆股、并股或股利、再分类或其他形式的公司资本重组；(5)修改或废止公司章程中任何条款；(6)改变公司经营性质或范围；(7)与公司有关的任何购并、兼并、出售、合并、合资、成立任何子公司或分公司等；(8)      公司任何债券或股权性证券的公开发行；(9)公司的清算或解散；(10)出售公司所有或基本所有资产、知识产权或商誉，或购买另一家实体的所有或基本所有资产或购并任何实体；(11)    变更董事会人数；(12)转让公司任何股份。下列事项需经公司董事会同意通过（且A轮优先股董事投赞成票）才能生效：(1)通过或修改员工期权计划（包括对其任何条款和条件的修改）；(2)任何关联交易，但公平交易且事先书面向股东完全披露的除外；(3)金额超过人民币50万元公司资产抵押或提供担保；(4)宣布或支付股份分红；(5)任命公司高级管理人员，包括但不限于首席执行官、首席运营官、首席技术官和首席财务官等；(6)任免公司审计师，决定审计费或其他与审计有关的费用；(7)上调公司收入最高的五（5）名员工中的任何一人的薪酬超过30%；(8)修改公司的会计政策或改变公司的会计年度；(9)正常经营之外，公司发生任何超过融资金额1%的债务或支出（无论是单笔或通过一系列相关的交易）；(10)通过公司年度预算及工作指标。
优先受让权,A轮优先股持有人有权根据其持股比例优先认购/购买公司新发行的股份以及公司其他股东转让的股份。
共同出售权,在其他股东出售或转让公司股份时，如A轮优先股持有人不行使优先购买权，则其有权但无义务与出售股东一起以同等条件按其各自股份比例出售其持有的股份。
知情权,集团公司应向A轮优先股持有人提供：(1)  每一财务年度结束后90日内，经审计的年度合并财务报表，审计人应为令A轮优先股持有人满意的合格会计师事务所；(2)  每一财务季度结束后45日内，未经审计的季度合并财务报表；(3)  每月结束后30日内，未经审计的月度合并财务报表；(4)  每一财务年度结束前30日内，一份年度预算；和(5)  提交给该公司股东的所有文件或其他信息的复印件。所有该等财务报表均应按A轮优先股持有人同意的区域的公认会计准则准备。另外，A轮优先股持有人代表有权对公司的财务账簿和其它经营记录进行查看核对，并在合理必要时，就公司经营访问其顾问、雇员、独立会计师及律师。
转股限制与分期得权,各创始人在公司持有的普通股（何宗素自行拥有的股份的6%除外）受限于五年的得权限制，自A轮融资交割后每满一年，创始人持有的公司总股份的1/5得权。在上述的五年之内，如创始人与集团公司的劳动合同因创始人主动离职或因创始人的过错而终止或解除，公司有权以成本价回购创始人未得权的普通股；创始人与公司员工发生恋爱关系（已有的夫妻关系除外），公司有权以成本价回购创始人全部普通股(无论是否得权)。自A轮融资交割起的五年内，在未取得A轮优先股持有人事先书面同意的情况下，创始人不得出售或转让或以任何其他方式处置其在公司享有的任何股份（何宗素自行拥有的6%除外，即其可自由转让上述股份而无需获得A轮优先股持有人的同意）。
自动兑换,A轮优先股持有人有权自行决定在其认购A轮优先股的交易完成日后的任何时间将其A轮优先股兑换为公司普通股，最初的兑换比例为1:1。
自动兑换,所有A轮优先股将在以下情况下自动转换为普通股：(i)在扣除承销折扣和登记费用后，公司估值不低于5亿美元，融资金额不低于5,000万美元的首次公开发行（“合格IPO”）完成，或(ii)持有50%以上A轮优先股持有人批准。
反稀释条款,A轮优先股在发生公司股份拆股、股票分红、股本重组或其他类似情况时有权按相应的比例进行数量上的调整，以防止被稀释。·       如果公司以低于当时的A轮优先股兑换价格的价格发行任何公司证券，则A轮优先股的兑换价格应按广义加权平均（on a weighted average basis）的计算方式进行调整，以防止其被稀释。
投票表决权,每一股A轮优先股所具有的表决权与其可兑换的相应数量的普通股具有相同表决权。A轮优先股原则上与普通股共同进行投票表决，而非作为单独类别分开投票表决，但涉及“保护性条款”的事项或法律另行规定除外。
登记权,三次要求登记权，无限制次数的共同登记权和S-3或F-3表格登记权，所有费用由公司承担。要求登记权在合格IPO之后或A轮优先股发行后5年起生效。
级别,除非获得持有2/3以上A轮优先股持有人的同意，A轮优先股的权利不得为次级的，且应在所有时间至少等同于赋予所有其他现有股东的权利。
投资金额,投资人投资金额为人民币612[1] 万元（“投资额”），认购目标公司的新增【261,600】元注册资本，投资后目标公司估值为【6800】万元人民币。投资后目标公司股本结构如下：注：华颖投资640万元，投资人2（跟投方）投资160万元，合计800万元，投后估值6800万。股东名称或姓名注册资本金额（人民币元）股权比例（%）刘旭龙1,701,08258.52%肖平149,4595.14%黄源亮149,4595.14%相泰启宏494,11617.00%麓谷高新47,0601.62%云游网络23,5300.81%华颖基金261,6009.00%其他80,3612.77%共计2,906,667100.00%
投资款用途,投资款及其收益应仅被用于目标公司的运营和主营业务的开发，不得用于偿还或解决目标公司对其股东、董事、雇员或与上述各方有任何关联的其他公司或人员的债务。对超出上述范围的使用，均需要经公司董事会的事先书面批准。
公司治理,本轮投资完成后，目标公司设置1名监事，由华颖基金委派。
陈述和保证,集团公司及创始人共同连带地做出标准的和惯常的陈述和保证，包括但不限于：1)组织和良好存续，股本结构清晰；2）股份有效发行；3）获得全部政府批准、资质和执照；4）目标公司不存在未向投资人披露的，针对创始人或目标公司的未决诉讼或仲裁以及未履行的裁判、裁决或行政调查、处罚；5）全部资产（包括知识产权）的完整所有权；6）与关键员工签订令投资人满意的劳动协议、保密协议和竞业限制协议；7）保证全部披露真实、准确和完整；8）税务记录和公司记录完整；9）财务报表真实准确；10）无关联交易；11）重大合同已披露；12）创始人所持有目标公司之股权为其合法持有、不存在任何瑕疵，并未设定任何抵押、质押、留置等担保或其它任何第三者权益；13）重大方面合规等。目标公司应促成其全部股东就本轮投资作出惯常的陈述与保证，包括但不限于：取得签署、交付并履行交易协议的同意和批准、放弃本轮新增注册资本的优先认购权等。
交割条款,拟议交易的交割条件至少应包括：1. 就任何集团公司而言，已从现有股东和相关各方取得所有必需的批准和同意，包括但不限于董事会批准；2. 投资人完成在法律、财务和业务方面的尽职调查，结果令投资人满意；3. 投资人同意自本协议签署之日起连续12个月的业务计划和预算； 4. 目标公司应当已经与关键员工（包括创始人）签署令投资人满意的劳动合同和/或保密协议、知识产权转让协议和不竞争协议；5. 有关各方签署并交付适当的最终协议（包括但不限于投资协议、股东协议、修订后的公司章程及其他交易性文件）；6.其他惯常交割条件。
股权兑现,只要创始人作为服务提供者的持续状态没有终止，那么创始人的全部股权将自2016年8月16日交割日起分四年匀速兑现，每年兑现四分之一。如果创始人在此期间内主动终止其雇佣关系或者服务关系，或者因故意、重大过失导致公司重大损失经董事会同意后及其他正当理由被目标公司终止该等关系，则创始人应以法律允许的最低价格将其未成熟股权按公司其他股东之间各自相对的持股比例转让给公司其他股东。注：创始人股权兑现在上轮投资协议中已有约定，应按上轮约定的锁定时间。
竞业禁止,在创始人/关键员工任职于任何目标公司及直接或者间接持有任何目标公司股权期间（以较晚者为准）以及该等期间结束后的24个月，创始人/关键员工不得直接或间接从事与公司主营业务相竞争的业务，不得在与目标公司有竞争关系的公司或者实体任职，或者劝诱目标公司的董事、高级管理人员、员工、客户或者合作伙伴离职。同时，创始人承诺将全部精力、工作时间投入目标公司的经营和管理。
优先分红权,未经投资人书面认可，目标公司不得进行任何利润分配。董事会制定的利润分配方案，并经股东会审议同意（包括投资人）派发股息、红利时，投资人有权优先获得本轮投资额范围内的【8%/年（单利）】的股息，剩余部分投资人与其他股东按照投资额比例分配股息。注：不同意8%的股息
优先清算权,在合格IPO（含新三板）之前，目标公司因任何原因导致任何法律法规规定的破产清算或者解散清算时，在公司的可分配财产或转让价款总额中，投资人有权优先于公司的其他股东取得相当于其投资额180150%（注 ：上轮为150%）的金额（简称“清算优先额”），加上已产生但未付的收益（包括但不限于股息与红利）。剩余的可分配财产或转让价款总额由全体股东（包括投资人）按各自的持股比例（不包括创始人所代为持有的员工期权）分配。除法定清算事由外，除非投资人以书面形式作出相反确认，以下事由应视同目标公司的清算事件（“视同清算事件”）：1)       公司的股东在交易后不再持有存续公司发行在外的多数股权的兼并、收购或者合并，或其他导致目标公司控制权发生变化的任何形式的交易；2)       转让目标公司全部或实质上全部资产、业务或对其进行任何其他形式的处置；3)       将目标公司的知识产权全部或实质上许可或转让给任何第三方。
回购权,自交割日起【60】个月后，目标公司或创始人有严重违约投资协议的行为且未在30日内得到及时补救，投资人有权要求创始人或目标公司以下述价格的较高者（“赎回价格”）赎回全部或者任何本轮股权： 本轮投资额按照【15【8%】（不合理）的复合年回报率计算的金额加上已产生但未付的收益（包括但不限于股息与红利），或者投资人认可的独立第三方评估机构评估的投资人股权的公允市场价格。赎回价格和数量将根据拆股、股息派发、资本重组和其他类似情况进行相应调整。
反稀释条款,目标公司应确保后续融资前目标公司估值不得低于本次投资后目标公司估值。如经投资人书面同意，后续融资前公司的估值低于本次投资后估值，则投资人有权以零对价或法律允许的最低价格获得因估值降低而被稀释的股权（“差额股权”），使投资人购买股权价格摊薄至新投资人购买股权的价格；或者投资人认可的其他方式进行补偿。本轮投资交易完成前，目标公司【18【14.81】%的股权将用于对目标公司核心技术员工和管理人员的激励（“员工激励股权”），该员工激励股权由创始人1代为持有。创始人和目标公司确认并同意，投资人完成本轮投资后，投资人、创始人2、创始人3的持股比例不会因为上述员工激励股权的设立而被稀释。如果后期该员工激励股权的比例需要增加，投资人的持股比例将参与【18【14.81%】员工激励股权之外增加部分的稀释。（取消该条有关期权池的条款）
知情权,目标公司需要向投资人交付：1)       在每一财务年度结束后的90天内提供经审计的年度合并财务报表，2)       在每个季度结束后的30天内提供未经审计的季度合并财务报表，3)       在每月结束后的30天内提供未经审计的月度合并财务报表，以及（如适用）4)       在每个财务年度结束前的45天内提供年度合并预算。审计依据中国公认的会计准则（PRC GAAP）或国际财务报告准则（IFRS），并由投资人认可的合格的会计师事务所进行。只要投资人持有公司股权，投资人应享有通常的检查权（包括但不限于查看任何目标公司的全部财务账簿和记录的权利）。
优先受让权,未来目标公司新增注册资本时，全体股东有权按照其在公司的持股比例认购新增注册资本的权利。（向员工发行的期权和股份除外。）
优先受让权,目标公司的任何其他创始股东人拟转让其所持有的全部或部分公司股权时（因员工股权激励计划而转让股权除外），投资人享有按比例优先受让的权利。
领售权,若有第三方愿意以本轮投资后目标公司估值的50倍以上的金额收购目标公司（包括任何涉及出售公司全部或实质上全部股权或资产或业务的交易）时，若投资人书面同意该交易，则目标公司全体股东应同意该交易并在表决中投赞成票。
共同出售权,如果投资人之外的目标公司的其他创始股东人决定出售其持有的目标公司股权，投资人应享有按比例按照相同的条款和条件共同向受让方转让部分或者全部股权的权利，但因员工股权激励计划而转让股权除外。
上市,目标公司和创始人承诺尽力在交割日起60个月后完成境内外合格资本市场（包括全国中小企业股份转让系统(新三板)）的上市，且上市前目标公司估值不低 【5亿元 】人民币。
保护性条款,在目标公司上市前，未经投资人事先书面批准，公司股东会不得，直接或者间接的采取下列任何行动：1)     对目标公司章程的任何修改；2)     增加或者减少目标公司注册资本；3)     目标公司的合并、分立、中止、解散；4)     变更目标公司的公司形式、经营范围；5)     目标公司进行任何形式的后续融资(无论股权融资或债权融资)，包括该等融资的任何条款或条件以及投资人的选定。6)     更换目标公司董事会的构成及人数；在目标公司上市前，未经投资人事先书面批准，公司董事会不得，直接或者间接的采取下列任何行动：1)     变更目标公司的主营业务，或从事任何与现有业务不同的新业务；2)     聘任或解聘目标公司的总经理、并决定其报酬；3)     制订、修改或终止目标公司的任何股权激励计划及该计划下的发股；4)     目标公司对外投资设立子公司、出售子公司或收购兼并其他企业；5)     目标公司任一会计年度内年度预算外发生的单笔或累计超过人民币【100】万元的银行或其他金融机构或非金融机构贷款；6)     目标公司任一会计年度内年度预算外发生的单笔或累计超过人民币【100】万元的资产购买、出售或其它方式的资产处置；7)     与目标公司股东、董事、高级管理人员或其关联方之间任一会计年度内单笔或累计金额为人民币【30】万元以上的关联交易；8)     制定目标公司的利润分配方案或亏损弥补方案；9)     为除目标公司以外的第三方提供担保或融资；10)   聘任或解聘对目标公司财务报表进行审计的会计师事务所；11)   改变目标公司的会计政策；12)   出售、转让、许可或以其他方式处置目标公司的专利、商标或其它知识产权；13)   在目标公司全部或部分业务、资产、权利上设定任何抵押、质押或其他权利负担；14)   出售、质押、转让、直接或者间接地处分或稀释公司在任何其他目标公司中的利益；15)   任何目标公司正常经营范围之外的其他活动。
优惠条款,如果公司在未来完成的任何融资中，向其他投资人提供了比投资人更优惠的条件，则投资人有权取得该等优惠条件。
其他,境外权益,若未来针对公司境内权益设立红筹架构并进行下一轮融资，投资人有权取得最终境外融资主体发售的与下一轮融资的投资人同一优先级别的优先股权，除拟议交易中所享有的优先权之外，投资人应当享有该等新投资人所享有的股票登记权等类似交易中惯常的权利。
排他性条款,未经【华颖】事先书面同意，目标公司及创始人不得在任何场所向任何第三方披露本交易、与本交易有关的任何信息以及【华颖】为本交易而披露的任何信息。在本投资意向书签署【30】（20）天内，目标公司及全体股东不向投资人以外的任何第三方寻求洽谈，或接受任何对目标公司或创始人成立的其他实体进行股权、债权或者其他任何形式投资的要约，不参与任何有关上述投资的谈判，或就上述投资签署任何协议或做出任何承诺。
适用法律,本意向书适用中华人民共和国相关法律，与本意向书有关的任何争议应当提交本意向书签订地合肥市高新区人民法院管辖。
投资金额,投资方有权以人民币【 3,000万 】元的现金出资获得相当于公司【20%  】的股权。投资方完成投资前后，公司的股权结构如附录一。
交割条款,在满足惯常的投资先决条件后，投资方将按照如下进度向公司支付投资款。本次人民币3,000万元投资将分两次注入，其中第一笔1,000万元将在协议签署后一周内支付万元将在正式投资协议签署后一周内支付, 第二笔2,000万元将在公司系统上线后支付。万元将在公司系统上线后三天内一周内支付。 所述“系统上线”指:PC版和手机端系统功能微信版能够正式支持交易,有完整的产品线推出,并且消费者能够完成交易发展借款用户和保人用户并能够完成交易。
董事会,本轮投资完成后，公司董事会由［5］名董事组成，其中投资方委派［1］名董事。创办人有权委派3名董事，天使投资人有权委派1名董事。无论投资方是否委派董事，都有权向董事会指派一名观察员参加董事会并参与发言讨论，但不具有表决权。
股权兑现,分期发放；转让限制；竞业禁止;连续创业锁定	创办人将在本轮融资中再增资30万。创办人持有的所有股票应为限制性股份，在本轮融资完成后，主要创办人[李成全]的股份(本轮融资前股份)以及共同创办人和核心管理人员股票将分四年四期的80%以及共同创办人和核心管理人员的全部股票将分四年四期，即分别在本轮融资完成后的第一、二、三和第四周年届满日实际发放（即“兑现”，下同）25％给主要创办人给对应的上述人员。创办人同意投资人将在本轮融资完成后的五年内对创办人所创办的创业项目（包括本项目以及期间内的其他创业项目）有优先投资权。尽管有前述约定，创办人应享有其所持全部限制性股权的处置权（含转让及质押）之外的所有权利及权益（包括投票权、股息分配权），无论该等股权是否已实际兑现或发放，直至创办人劳动合同提前终止时其所持限制性股份按照本条下述规定被予以收购或其离职后有权继续持有的已获发放的股权的表决权被予以委托。若创办人的劳动合同提前终止若创办人自愿主动提前解除与公司及其关联方的劳动合同关系，公司有权以法律允许的最低价格(人民币1元)回购创办人持有的未获发放的公司股份并要求创办人就其离职后有权继续持有的已获发放的股份签署令公司满意的表决权委托书；但对于单方终止劳动合同、由于损害公司利益的行为而离开公司或从事公司竞争业务、参与或加入公司竞争对手的创办人，则无论股份是否已获发放，均将被以法律允许的最低价格（人民币1元）或无偿收回。未经投资方同意，创办人不得转让或质押其在公司持有的股份。创办人承诺自本轮投资结束开始3年内需全职经营本项目，不再从事任何其他业务且不得单方提前终止劳动合同，除非创办人、投资人合理认定本项目已经不具有继续经营的价值及必要。经投资人确认终止本项目的经营后，若创办人有其他创业项目的，投资人有优先投资权。该优先投资的期限为本轮投资完成后五年内。创办人同意从交割日起直到其不再是公司的股东或不在公司任职（较晚发生之日者为准）之后的三年内，非经投资人同意或投资协议另有约定，不得从事与公司竞争的业务或招揽其他雇员接受公司以外的职务。
管理团队,核心人员是指董事会成员和公司的高层管理团队成员。核心人员中的公司雇员必须和公司签订符合本轮投资人要求的新的雇佣合同。新的雇佣合同必须包含保密条款和竞业限制条款（详细的条款有待确定）。和创始股东签订的雇佣合同必须保证创始股东在公司或者其分支机构从本轮投资结束开始全职工作至少3年。的损失； 5. 公司和创始股东必须赔付A轮投资人因为违背保证条款或者不服从承诺条款所造成的损失，伤害和其他债务； 6. 普通股股东在没有获得董事会无异议批准情况下不能抵押或者转让其股份给第三方；7. 其他符合交易惯例的保证条款和承诺条款；A轮投资人执行尽职调查所需要的保证条款和承诺条款。保证条款和本轮投资完成后需要履行的承诺条款的有效期为本轮投资完成后3年。在此期间，创始股东必须将其在公司内的注册资本或者股份抵押给A轮投资人以保证创始股东和公司执行保证条款和承诺条款的义务。财务报告公司需要向所有投资人提交： （1）本轮投资完成后，每个月结束后的7天内，提供公司的月度关键指标和管理数据； （2）本轮投资完成后，每季度结束后的15天内，提供季度财务报表（合并的和每个分支机构独立的）。管理和财务报表必须至少包括：符合IFRS的损溢表，资产负债表和现金流量表。 每个财年结束后的3个月内，公司必须向投资人提供经双方共同选择的会计师事务所审计的年度财务报表。公司必须在每个财年开始前15天通过来年的财务预算。 中途交易自投资意向书执行之日至交易完成之日止，若公司发生兼并、收购，或者公司参与到兼并、收购，或者现有股东结构发生变化，或者发生与公司正常业务无关的交易（包括融资安排），或者其他类似的计划或协议，公司应立即书面通知乙方，并与乙方确认上述事项对公司的影响。交易费用各方各自承担因谈判，文件起草和交易达成所产生的费用和支出。公司将负责承担审计，法律和其他专业服务费用以及由领头方产生的合理费用，该费用的上限为美金7万元。 保密创始股东和公司必须严格对本意向书涉及的投资人及其委托人信息进行保密。如果创始股东或公司需要将交易相关信息披露给第三方（包括媒体），必须事先获得乙方的书面同意。投资协议签署和完成交易的前提条件和交易完成后的承诺条款 1. 签署条件签署最终确定的法律文件的前提条件包括但不限于：（1） A轮投资人投资决策委员会的批准；（2） 公司的核心员工和核心人员已经开始执行包含保密条款和竞业限制的新雇佣合同；（3） 法律文件已经谈判完成；并且（4） 任何A轮投资人在尽职调查期间提出的其他条件得以满足。 2. 注资完成条件资金注入的条件包括但不限于：（1） 法律文件的签署，公司相关的股东大会和董事会决议的通过；（2） 公司和A轮投资人的律师发表符合A轮投资人要求的法律意见；（3） 从本投资意向书签署之日起，没有出现对公司的业务，资产，运营，财务以及前景产生实质负面影响的变化；（4） 公司及创始股东已经遵照承诺条款，并且保证条款是真实的，正确的，并在投资完成之日（含）前没有被破坏；（5） 任何B轮投资人在尽职调查期间提出的其他条件；（6） 其他符合交易惯例的完成条件。 3．交易完成后承诺条款（1） 公司及创始股东必须在一个合理的时间范围内获得所有在中华人民共和国运营业务需要的批文和证书；（2） A轮投资人所要求的其他关键事项，包括投资人所要求完成的重组。 适用法律投资交易文件中有关合资企业的部分必须适用中华人民共和国法律，其他事务适用香港特别行政区法律。所有参与方必须同意香港法院的非专属管辖。排他权乙方有90天的排他期以便和公司进行投资条款的谈判；如果乙方在排他期截至前告知公司其投资决策委员会已经批准核心交易条款，排他期必须顺延。在双方没有进一步述求下，排他期延长30天。 在排他期间，公司和现有股东不能招揽，接受乙方之外的任何潜在投资人或者潜在投资人的代理方，并与之讨论，协商及形成建议书，备忘录，意向书，协议或者其他任何和公司股权债权相关的安排。在甲乙双方书面同意的情况下，排他期可以中止，也可以延长。如果公司或者现有股东破坏前述排他契约，公司必须赔偿乙方所有产生的合理费用（包括法律，尽职调查和其他费用）。 有效期本投资意向书在签署后90天内有效。如果相关方无法在规定的时限内进入投资相关文件起草，并且没有获得所有参与方的同意延长，该意向书将自动失效。 语言所有协议必须采用中文进行书写和制定。无约束力（Non-binding）本意向书包含的条款除了保密和排他性之外不具约束力。公司、乙方和投资人都无义务一定要进入公司股权投资相关的交易中。该义务仅在签署确定的法律文件后才生效。如果有效IPO在本轮融资结束后3年内发生，那么上述要求也将自动失效。
适用法律,本投资意向书应受中国法律管辖。任何因本投资意向书产生的或与本投资意向书有关的争议均应提交至中国国际经济贸易仲裁委员会北京分会，按照该委员会届时有效的仲裁规则进行仲裁。仲裁裁决是终局性的，对双方均有约束力。
排他期,在签署本投资意向书之日后3014天内，创办人和公司不得与第三方进行任何类似本次投资或与达成本投资意向书拟定交易相矛盾的任何其他交易或进行相关谈判。如果由于创办人违反本条款导致最终法律和交易文件未能签署，创办人和公司应承担投资方的损失。如果公司或创办人终止本投资意向书， 或者因为创办人或者公司的原因本投资意向书终止，且在终止后12个月内公司或其关联公司向第三方以股权、债券或可转债方式融资的，投资方有权在知悉后以同等融资条件或者本投资意向书下的条件（以对投资方较优者为准）进行投资，投资额为投资意向书下的金额。
级别,除非经投资方事先书面同意，投资方的权利不得为次级的，且应在所有时间至少等同于赋予所有其他现有股东或将来的股东的权利且应在本轮投资完时至少等同于赋予所有其他现有股东的权利。
费用,如完成本次投资或因公司/创办人的原因导致本次投资未完成，公司应承担投资方在投资过程中发生的全部费用，最多不超过［3015］万人民币。如果因投资方单方面原因未达成本项投资，投资方将自行负担其自身在投资过程中发生的全部费用，但不负责创办人和公司为此发生的费用。
保密条款,未经投资方事先书面同意，创办人和公司不得向任何人披露本投资意向书或投资方已签署本投资意向书和/或正就潜在的交易开展讨论，不得向任何人披露或与任何人讨论本投资意向书条款，但向创办人的代理人和顾问做出的必要披露除外，条件是该等高管人员和顾问就上述披露内容保密。
有约束力条款,如本意向书在北京时间2015年【9】月【1】日前未被各方签署，则本意向书无需任何一方通知即过期。
投资金额,公司本次增资前估值为3850万元。甲方对公司增资500万元，乙方同时增资150万元，投后4500万元。投资后，甲方持有公司11.11%的股权。
投资款用途,丙方应确保将投资人的投资用于公司的经营以及董事会批准的其他用途。
交割条款,1.对丙方的法律、公司业务和财务等方面尽职调查令甲方满意；2.投资方案最后得到甲方投资决策委员会的批准；3.丙方的业务没有发生本质变化；
董事会,董事会应有37位董事组成，董事会中有1位由甲方委派[BT1] ，上一轮投资方分别可以委派一名，其余4名由创始人委派。所有董事会决议只需要简单多数同意即可通过，一些特定的“重大事件”（见下列表）除外。“重大事件”的通过应取得甲方委派的董事的认同。董事会会议[每半年]召开一次；
保护性条款,重大事件包括以下内容：1)公司章程及其它设立文件的变更；2)任何证券的发行 (包括但不限于股权和债权类证券)，不包括银行贷款；3)回购或注销公司股票；4)对公司全部或实质性财产（包括但不限于房产、设备、商标、专利等知识产权）或子公司、分公司的出售、转让、抵押或其它处置金额超过50万元人民币，但公司正常经营的除外；5)  公司清算、解散、收购、兼并或重组；6)对任何有关甲方、乙方和丙方的权利、优先权、特权或权力的修改、变更或增加此类条款；7)成立子公司、分公司、成立任何非全资拥有的合资企业、合伙制企业；8)投资后公司分发或支付红利；9)在(a) 超出惯常业务来往范围或(b)在任意连续12个月中交易总额超过[500,000] 元人民币的资产购买、租赁、租借、售卖、抵押、典当、转移、处置[BT2] ；10) 参与任何与现有业务计划完全不同的行业领域或终止公司任何核心业务；11)公司对其董事、高级管理人员及职员的超过[300,000]元人民币贷款；12)在任意连续12个月内购买任何其他公司的证券或股权超过[500,000] 元人民币[BT3]13)公司与任何股东、公司董事、高级管理人员或职员之间及关联关系的合资企业、董事、高级管理人员及职员之间的交易或一系列交易总额超过[500,000]元人民币；14) 对经公司权力机关批准的公司的经营计划的实质性改变；或公司对其下属任何合资/独资企业董事的任免。15)在合格上市之前，任何可能直接或间接导致公司实际控制人变化的股权转让、股权质押或重大资产的抵押或其它处置；16)公司发生任何债务、承担任何金融义务或者发行、承担、担保余额总和超过[500,000] 元人民币的借款，但正在经营范围内的除外；17)与任何第三方或者相关团体达成实质协定，根据协定公司对协议对方所承诺、抵押或承担的义务价值在任意连续12个月内可达无限大或可能超过[2,500,000]元人民币,但属于正常经营范围内的除外；（咨询律师是否有问题）18)与公司的附属企业、股东或者其他关联方约定或达成任何交易和协议；19)总经理的任免；20)高级管理团队的薪酬待遇的调整，且幅度超过40%的；高级管理团队成员股份/权比例的调整（副总经理级及以上）；21)董事会组成人数的改变，增加或减少董事会的权力；22)批准、修改和管理员工持股计划；23)对财务会计制度做出重大变更，聘请变更审计师；24)由于筹备公司合格上市而聘请或者变更券商或者律师；25)公司合格上市的地点、时间、价格、证券种类或证券交易所的选定；26)详细年度预算 (包括利润表、资产负债表及现金流量表预算)、资本支出计划、贷款额度和业务年度计划书等。
优先受让权,公司的股东协议应赋予投资人在创始人任何计划的公司拟向第三方出售之股份交易之中优先购买权和共同出售权。1、若创始人公司除投资人之外的其他股东计划向任何第三方出售其全部或部分股权，则必须首先通知投资人且应赋予投资人如下权利：(i)     以计划出售的同样条件购买股权的优先购买权以及(ii)以计划出售的同样条件共同售卖股权的共同出售权。2、若创始人公司内部股东计划向其它内部股东出售其全部或部分股权，则必须首先通知投资人且应赋予投资人如下权利：(i)     以计划出售的同样条件购买股权的优先购买权以及(ii)以计划出售的同样条件共同售卖股权的共同出售权。3、投资人有有权于购买公司进行后续融资时，按其届时在公司持有的股权比例，以与公司拟向认购人提出的相同发行条件和对价购买该种股权任何新发证券的优先权，或在公司再融资时优先投资的权力。投资人认购公司新股时，投资的价格、条款和条件应与其他潜在投资者的购买条件相同。
优先受让权,投资人有购买公司任何新发证券的优先权，或在公司再融资时优先投资的权力。投资人购买公司证券或投资的价格、条款和条件应与其他潜在投资人的购买条件相同。认购新股的优先权不适用于如下情况的公司股份发行(1) ESOP股票； (2) 在公司公开上市的注册承销中；或者 (3)与股票分割、股息和类似交易相关。
知情权,丙方应向投资人提供：1． 每季度结束后15 日内：非经审计的按国际中国会计准则准备的季度财务报表；2． 每年结束后90日内，经由投资者所接受的知名审计事务所按国际中国会计准则审计的年度财务报表；3． 至少于新财政年度开始30日之前，经其董事会批准的年度预算计划；4． 投资人需要的其他信息。另外，投资人股权代表有权对公司的财务账簿和其它经营记录进行查看核对，并在合理必要时，就公司经营访问其顾问、雇员、独立会计师及律师。
优先清算权,如果在公司上市前发生清算事件（包括公司的清算、解散，导致公司控制权变化的任何形式的收购与兼并等），投资方享有优先分配权及优先索偿权。所有法定清算支付要求后，就剩余资产，应优先分配给甲方及乙方的资产为：投资人本轮投资总额* 2120%，扣除投资人以及其他有优先清算权或类似权利的股东应优先获得的资产之后余下的资产根据公司各股东的持股比例进行分配。如果所有法定清算支付要求后，剩余资产少于应优先分配给投资人的资产，则全部归本轮投资人所有，并按本轮投资额比例分配给甲方和乙方。
回购权,1.在投资人本轮投资满46年后，如果丙方未能合格上市（在创业板或新三版等），投资人有权利要求丙方在投资人提出后的三个月内回购投资人所持有的公司股权。如果丙方合格上市，则该股权回购条款失效。2.  如果丙方对投资人股权的回购行为受到法律的限制，丙方现有股东创始人有义务协助公司从其它合法渠道筹集资金收购投资人的股权。3.  上述1、2两种情况下，购买价格按以下两者最大者确定：a)   投资人投资总额* [ 1.108的（N/12）次方 ]，N为自投资人投入资金之日起到投资人股权出售的时间长度，以月为单位，不足1个月按1个月计算；b)    回购时投资人股权对应的公司净资产。
投票表决权,各股东按照其所持有的股份并根据投资合同的规定行使表决权。
知识产权协议,公司应与每个管理人员和研发人员签订适当的保密和发明协议。
