投资金额及投资人,投资金额：1200万美元投资人：__及其关联基金
优先认购权,在公司进行增资时，投资人有权按照同等条件和价格优先对公司进行增资。
领售权,本次投资完成后，如有第三方对公司提出兼并收购意向，且收购价格为本次投资价格的【4】倍以上，则投资人有权要求公司其他股东以相同的收购价格，出售其所持公司股权。
优先清算权,如果公司发生清算、解散或结束营业、或公司的全部股权或资产（包括知识产权）被整体出售或处置，公司控制权转移等事件时，则在创始股东或任何其他股东获得分配之前，投资人就其持有的股权，有权获得以下分配金额：投资人原始投资金额加上每年【10%】的复利，以及所有应付未付股利，并有权按照持股比例参与剩余财产的分配。
否决权,投资人及其委派董事应当享有惯常的重大事项否决权。
现有优惠条款,公司了解投资人在出具本备忘录时并未对公司进行任何法律、财务和业务的尽职调查，也无机会审阅公司之前的融资文件。如果公司任何现有股东享有某些优先权利或更为优惠的条款，该等优先权利或更为优惠的条款应自动并入本备忘录，被投资人所享有。
陈述保证和交割条件,在最终投资协议中，公司和创始股东应当向投资人做出常规的陈述和保证。本次投资交割前需要满足此类投资惯常的交割条件。
排他性条款,本备忘录一经签署，除__书面同意外，公司应保证给予投资人[30]个工作日的排他期。公司、创始股东、公司关键员工及其代表在排他期内不能够与其它投资方进行类似的沟通、谈判以及签署任何类型的书面约定，也不得进行与公司业务相近的其他公司的设立和经营活动。
效力和管辖,本备忘录适用中国法律。双方同意将与本意向书的订立、解释或执行相关的任何争议提交中国国际经济与贸易仲裁委员会依照其届时有效的仲裁规则在北京通过仲裁方式解决。本备忘录替代之前所有各方达成的口头协议。除保密约定、排他期约定、费用约定及本“效力和管辖”条款以外的其它条款，不具备法律约束力。
费用,公司将承担投资人在本意向书执行过程中以及因后续尽职调查、正式文件的起草、谈判、签署和交割等所产生的与本次投资相关的费用。上述由公司承担的费用不超过【25】万元人民币。如投资人最终进行投资，则费用由公司进行承担；如投资人最终没有进行投资，因为公司原因则费用由公司进行承担，因为投资人原因则费用由投资人进行承担。
保密,创始股东及公司应对本意向书的签署、履行及所有条款、所含信息均严格保密，除非需要依照政府的合法要求进行披露，但是其须在披露前10日或更早通知签署本意向书的其他各方。
